Date,Open,High,Low,Close,Adj Close,Volume
2011-11-02,77.370003,77.589996,76.500000,77.370003,63.228153,21761300
2011-11-03,78.190002,79.000000,77.440002,78.860001,64.445831,24480600
2011-11-04,78.070000,78.610001,77.379997,78.519997,64.167953,18192800
2011-11-07,78.820000,79.489998,78.120003,79.349998,64.846275,17998100
2011-11-08,79.250000,79.879997,78.629997,79.760002,65.569717,19023800
2011-11-09,77.900002,78.919998,77.029999,77.389999,63.621357,24130100
2011-11-10,78.529999,79.019997,77.639999,78.699997,64.698288,18668800
2011-11-11,79.629997,79.949997,79.339996,79.720001,65.536827,15134500
2011-11-14,79.529999,79.750000,78.389999,78.959999,64.912041,13589900
2011-11-15,78.860001,79.849998,78.500000,79.089996,65.018906,19475000
2011-11-16,78.239998,79.750000,78.059998,78.250000,64.328346,20376800
2011-11-17,78.120003,79.430000,77.099998,77.860001,64.007744,25964300
2011-11-18,78.220001,78.680000,77.110001,77.900002,64.040611,23104500
2011-11-21,76.529999,77.330002,76.059998,76.910004,63.226765,20204200
2011-11-22,76.379997,77.099998,75.879997,76.029999,62.503326,18925100
2011-11-23,75.029999,75.320000,74.529999,74.580002,61.311291,23331800
2011-11-25,74.510002,75.199997,73.900002,73.900002,60.752266,10254500
2011-11-28,75.839996,76.510002,75.330002,75.839996,62.347103,20148600
2011-11-29,76.410004,77.500000,76.139999,76.930000,63.243195,19768400
2011-11-30,78.419998,80.529999,78.370003,80.440002,66.128731,33953000
2011-12-01,80.199997,80.349998,79.370003,79.790001,65.594368,17261100
2011-12-02,80.669998,80.739998,79.650002,79.790001,65.594368,19461300
2011-12-05,80.879997,81.180000,79.800003,80.449997,66.136948,18295000
2011-12-06,80.629997,81.639999,80.290001,80.820000,66.441109,20122700
2011-12-07,80.610001,81.860001,80.349998,81.080002,66.654869,19643400
2011-12-08,80.750000,80.849998,79.550003,79.870003,65.660133,18443600
2011-12-09,80.629997,81.750000,80.339996,81.339996,66.868599,21842300
2011-12-12,80.730003,81.089996,79.209999,80.050003,65.808113,17846500
2011-12-13,80.610001,81.809998,80.139999,80.529999,66.202728,21873600
2011-12-14,79.589996,80.169998,78.660004,79.440002,65.306641,23934400
2011-12-15,79.930000,80.599998,79.779999,80.029999,65.791664,17954200
2011-12-16,80.739998,80.910004,79.879997,80.160004,65.898560,33465700
2011-12-19,80.239998,80.459999,79.379997,79.529999,65.380615,16048400
2011-12-20,80.660004,82.000000,80.610001,82.000000,67.411179,21163300
2011-12-21,82.019997,83.339996,82.000000,83.120003,68.331917,19160300
2011-12-22,83.559998,84.830002,83.300003,84.290001,69.293770,19841300
2011-12-23,84.279999,85.230003,84.209999,85.220001,70.058289,10243800
2011-12-27,84.970001,85.629997,84.949997,85.279999,70.107635,10147100
2011-12-28,85.150002,85.440002,84.010002,84.180000,69.203339,12767500
2011-12-29,84.089996,85.330002,84.089996,85.269997,70.099396,10865900
2011-12-30,85.160004,85.290001,84.570000,84.760002,69.680138,9768900
2012-01-03,85.970001,86.669998,85.900002,86.000000,70.699532,20906800
2012-01-04,85.790001,86.150002,85.099998,86.019997,70.715950,16130900
2012-01-05,85.639999,85.949997,84.919998,85.760002,70.502220,17452800
2012-01-06,85.919998,86.000000,85.110001,85.120003,69.976105,15942100
2012-01-09,85.000000,85.639999,84.970001,85.500000,70.288490,11664200
2012-01-10,86.070000,86.209999,85.379997,85.720001,70.469345,13080800
2012-01-11,85.099998,85.400002,84.470001,85.080002,69.943192,14831400
2012-01-12,84.389999,84.919998,83.940002,84.739998,69.663689,17357200
2012-01-13,84.160004,84.919998,83.820000,84.879997,69.778793,15551600
2012-01-17,85.750000,86.129997,85.400002,85.690002,70.444687,15627900
2012-01-18,85.300003,86.500000,84.959999,86.449997,71.069458,16754200
2012-01-19,86.339996,87.239998,85.769997,87.029999,71.546280,16383500
2012-01-20,87.080002,87.489998,86.720001,87.489998,71.924446,19220300
2012-01-23,87.500000,87.940002,87.029999,87.470001,71.908005,15348400
